id,nombre,edad,direcciones,semestre,promedio,materias,numInscripcion
1,Gabriel Ana Reza Romero,21,Av. Aguascalientes Sur N° 402,septimo semestre,8.294501,Lenguajes Formales y Automatas , Sistema de Comunicaciones , Calculo y Geometria Analitica , Ingenieria de Software , Sistemas Distribuciones,87764.13
12,Esteban Maria Rojas Nava,18,Av. Aguascalientes Poniente N° 202 Del Valle Segunda Secc.,primer semestre,6.3004427,Fundamentos de Programacion , Fundamentos de Fisica , Base de Datos , Optativa de Ciencias Sociales y Humanidades , Lenguajes Formales y Automatas,10438.897
13,Gael Eduardo Córdova Galindo,19,Blvd. Guadalupano N° 2117 Ejido Las Cumbre,tercer semestre,6.926594,Computacion Grafica e Interaccion Humano-Computadora , Optativa de Campo de Profundizacion , Algebra Lineal , Microcomputadoras , Algebra,788.6546
14,Jose Peralta Juárez,19,Av. Aguascalientes Poniente N° 1502 Colinas De San Ignacio,tercer semestre,9.034031,Algebra Lineal , Introduccion a la Economia , Quimica , Introduccion a la Economia , Optativa de Ciencias Sociales y Humanidades,217079.19
15,Gloria Campos Jasso,18,Av. José E. Femat Gutiérrez Nº 720 Natura,primer semestre,6.1988106,Analisis Numerico , Introduccion a la Economia , Finanza en la Ingenieria en Computacion , Sistema de Comunicaciones , Algebra,44868.293
16,Daniel Vargas Delgado,22,Boulevard Guadalupano X/N Villa Bonita,noveno semestre,6.03102,Programacion Orientada a Objetos , Inteligencia Artificial , Computacion Grafica e Interaccion Humano-Computadora , Circuitos Electricos , Sistemas Distribuciones,10570.051
17,Alejandra Castillejos Carmona,19,Av. El Cobano N° 218 El Cobano,tercer semestre,7.1166496,Fundamentos de Fisica , Calculo Vectorial , Base de Datos , Cultura y Comunicacion , Calculo y Geometria Analitica,57881.957
18,David Valentina Flores Pérez,20,Esfuerzo Nacional S/N Municipio Libre,quinto semestre,9.382551,Finanza en la Ingenieria en Computacion , Lenguajes Formales y Automatas , Microcomputadoras , Estructura de Datos y Aalgoritmos I , Administracion de Redes,7755.712
19,Antonio Gloria Millán Peralta,18,Av. Constitución N° 503 Pozo Bravo,primer semestre,5.1655297,Electricidad y Magnetismo , Microcomputadoras , Computacion Grafica e Interaccion Humano-Computadora , Estructura de Datos y Aalgoritmos II , Sistemas Distribuciones,12070.148
20,Clara Delgado Esquivel,21,Prolongacion Julian Medina N° 603 Villas Del Pilar 1A Sección,septimo semestre,6.696952,Quimica , Electricidad y Magnetismo , Estructuras Discretas , Algebra , Circuitos Electricos,135943.52
21,Mateo Matias Toledo Toledo,20,Av. Paseo De La Asuncion S/N Villas Del Pilar,quinto semestre,7.941908,Fundamentos de Sistemas Embebidos , Microcomputadoras , Estructura de Datos y Aalgoritmos I , Recursos y Necesidades de Mexico , Robots Movilies,63711.87
22,Angel Valdez Reyes,18,Av. Vallarta N° 139 Vistas De Oriente,primer semestre,5.777426,Optativa de Campo de Profundizacion , Cultura y Comunicacion , Analisis Numerico , Robots Movilies , Introduccion a la Economia,53412.59
23,Maria Angel Román León,21,De La Soledad N° 343 La Salud,septimo semestre,7.362386,Optativa de Ciencias Sociales y Humanidades , Computacion Grafica Avanzada , Ecuacion Diferenciales , Diseña Digital Moderno , Sistema de Comunicaciones,74849.5
24,Miguel Guadalupe Gil Román,19,Jose De Jesus Gonzalez Garcia N° 203 Villa De Nuestra Señorade La Asuncion,tercer semestre,7.4818907,Mecanica , Cultura y Comunicacion , Programacion Orientada a Objetos , Señales y Sistemas , Computo Movil,255476.2
25,Angel Rodríguez Díaz,20,Av. Prolongacion Rodolfo Landerso Gallegos N° 1310 Mirador De Las Culturas,quinto semestre,8.364523,Sistemas Distribuciones , Matematicas Avanzadas , Estructura y Programacion de Computadoras , Fundamentos de Estadistica , Estructura de Datos y Aalgoritmos II,36746.008
26,Maria Galindo Flores,21,Av. Independencia # 2351,septimo semestre,9.430221,Computacion Grafica Avanzada , Calculo y Geometria Analitica , Quimica , Circuitos Electricos , Seguridad informatica,27856.525
27,Andrés Karla Fuentes León,22,Prolongación Independencia N° 901,noveno semestre,9.071728,Ingenieria de Software , Microcomputadoras , Analisis Numerico , Señales y Sistemas , Fundamentos de Fisica,16175.514
28,Andrés Maria Fuentes Carmona,18,Av. De La Convención 1101 Fracc. Gómez,primer semestre,8.580583,Administracion de Proyectos de Software , Sistema de Comunicaciones , Introduccion a la Economia , Calculo Integral , Finanza en la Ingenieria en Computacion,38361.586
29,Ana Laura Carmona Jasso,22,Av. Independencia S/N Paseos De Aguascalientes,noveno semestre,9.860443,Sistema de Comunicaciones , Redaccion y Exposicion de Temas de Ingenieria , Microcomputadoras , Dispositivos Electronicos , Electricidad y Magnetismo,22557.002
30,Valeria Gael Campos Reza,22,Av. Panamericana N° 104Y 106 Paso De Agenta,noveno semestre,6.521771,Sistemas Operativos , Calculo y Geometria Analitica , Sistemas Operativos , Estructura y Programacion de Computadoras , Señales y Sistemas,52814.22
31,Jacqueline Alejandra Mimbrera Millán,22,Av. Miguel De La Madrid N° 402,noveno semestre,9.202387,Fundamentos de Programacion , Sistemas Distribuciones , Recursos y Necesidades de Mexico , Calculo Integral , Calculo Vectorial,108197.69
32,Guadalupe Vargas Jasso,22,Av. Mariano Hidalgo N° 1701 Fracc. Morelos Segunda Sección,noveno semestre,7.6223707,Calculo Vectorial , Algebra , Diseña Digital Moderno , Calculo Vectorial , Estructura de Datos y Aalgoritmos II,1811.95
33,Matias Pérez Flores,19,Av. Siglo Xxi No. 5190 Fracc. Haciendas De Ojo Aguascalientes,tercer semestre,7.557951,Estructura de Datos y Aalgoritmos II , Robots Movilies , Compiladores , Robots Movilies , Diseña Digital Moderno,32332.656
34,Alejandra Juárez León,21,Prolongación 20 De Noviembre N° 404,septimo semestre,6.9402895,Base de Datos , Estructura de Datos y Aalgoritmos II , Diseña Digital Moderno , Optativa de Campo de Profundizacion , Recursos y Necesidades de Mexico,46748.508
35,Victoria Fernanda Peñaloza Gil,18,Av. General Mariano Escobedo No. 1201,primer semestre,6.9689083,Matematicas Avanzadas , Compiladores , Electricidad y Magnetismo , Ingenieria de Software , Compiladores,59358.5
36,Valeria David Carmona Millán,22,Morelos N° 406.,noveno semestre,7.027628,Estructuras Discretas , Sistemas Operativos , Calculo Integral , Administracion de Proyectos de Software , Estructura de Datos y Aalgoritmos II,29625.846
37,Esteban Toledo Juárez,18,Av. 16 De Septiembre 101,primer semestre,8.339419,Ingenieria de Software , Algebra , Calculo Integral , Base de Datos , Diseña Digital Moderno,187284.45
38,Gabriel Clara Sosa Galindo,19,Avenida Benito Juarez Sur N° 201,tercer semestre,5.466077,Administracion de Proyectos de Software , Fundamentos de Estadistica , Sistema de Comunicaciones , Programacion Orientada a Objetos , Seguridad informatica,23998.328
39,David Fernanda Delgado Valdez,20,Av. Convención De 1914 Ote. No. 904,quinto semestre,5.7038965,Computo Movil , Optativa de Ciencias Sociales y Humanidades , Recursos y Necesidades de Mexico , Inteligencia Artificial , Programacion Orientada a Objetos,952.1815
40,Fernanda Nava Hernández,22,Av. Siglo Xxi N° 2801 Pintores Mexicanos,noveno semestre,8.136949,Programacion Orientada a Objetos , Sistemas Distribuciones , Analisis Numerico , Inteligencia Artificial , Introduccion a la Economia,110108.125
41,Carlos Sebastian López Mimbrera,21,Blvd. Jose Ma. Chavez S/N. Km 1 Carr Mex. Plaza Villasunción,septimo semestre,7.0585856,Diseña Digital Moderno , Diseña Digital Moderno , Administracion de Redes , Estructuras Discretas , Algebra,2804.0933
42,Juan Santiago Córdova Fuentes,18,Calle Once No. 1552,primer semestre,6.867664,Analisis Numerico , Fundamentos de Programacion , Quimica , Sistemas Distribuciones , Estructura de Datos y Aalgoritmos II,6114.9644
43,Eduardo Clara Lara González,21,Carret Transp Eda-La Paz #3976 Carlos Pacheco,septimo semestre,9.580824,Algebra , Matematicas Avanzadas , Estructura y Programacion de Computadoras , Optativa de Campo de Profundizacion , Recursos y Necesidades de Mexico,65793.766
44,Leonardo Esquivel Nava,19,Blvd. Reforma # 432 Fracc. Playa Dorada,tercer semestre,9.202956,Electricidad y Magnetismo , Señales y Sistemas , Finanza en la Ingenieria en Computacion , Redes de Datos Seguras , Algebra Lineal,64268.277
45,Jose Rodríguez Fuentes,22,Calzada Cetys No. 1799,noveno semestre,8.275724,Fundamentos de Programacion , Analisis Numerico , Estructuras Discretas , Ingenieria de Software , Algebra,24976.11
46,Ángela Corona Toledo,21,Novena No. 1769,septimo semestre,7.62424,Dispositivos Electronicos , Sistemas Distribuciones , Administracion de Redes , Calculo y Geometria Analitica , Fundamentos de Sistemas Embebidos,33208.824
47,Karla Jorge Delgado Rojas,22,Boulevard Lázaro Cárdenas No. 1801,noveno semestre,6.2746406,Ecuacion Diferenciales , Electricidad y Magnetismo , Redes de Datos Seguras , Fundamentos de Estadistica , Base de Datos,11763.347
48,Gerardo Santiago Arenas Enciso,21,Av. Benito Juárez No. 921,septimo semestre,5.5845613,Calculo y Geometria Analitica , Señales y Sistemas , Dispositivos Electronicos , Probabilidad , Fundamentos de Fisica,46568.703
49,Camila Maldonado Corona,18,Blvd. Lazaro Cárdenas #2200.,primer semestre,7.163041,Diseño Digital VLSI , Computacion Grafica e Interaccion Humano-Computadora , Optativa de Campo de Profundizacion , Circuitos Electricos , Inteligencia Artificial,6725.089
50,Karla Lara Enciso,18,Blvd. Lazaro Cardenas No. 1801-A,primer semestre,8.239203,Base de Datos , Administracion de Proyectos de Software , Dispositivos Electronicos , Organizacion y Arquitectura de Computadoras , Compiladores,13648.782
51,Valeria De los Santos Pardo,19,Carretera Libre Tijuana-Ensenada No. 300,tercer semestre,9.837543,Circuitos Electricos , Sistemas Operativos , Calculo Vectorial , Finanza en la Ingenieria en Computacion , Organizacion y Arquitectura de Computadoras,7203.3535
52,Emiliano Ibáñez Díaz,22,Avenida Paseo Playas De Tijuana,noveno semestre,6.733517,Inteligencia Artificial , Diseña Digital Moderno , Compiladores , Base de Datos , Computo Movil,61493.0
53,Cristina Gael Flores Fuentes,21,Blvd. Insurgentes No. 18015,septimo semestre,9.4826355,Fundamentos de Sistemas Embebidos , Señales y Sistemas , Dispositivos Electronicos , Base de Datos , Algebra Lineal,21378.055
54,Clara Pérez Córdova,18,Blvd. Gustavo Díaz Ordaz No. 15634,primer semestre,6.3596835,Estructura de Datos y Aalgoritmos I , Administracion de Redes , Recursos y Necesidades de Mexico , Ingenieria de Software , Cultura y Comunicacion,77244.81
55,Jose Arenas Mimbrera,22,Agua Caliente # 11999,noveno semestre,9.317221,Fundamentos de Fisica , Estructura de Datos y Aalgoritmos II , Dispositivos Electronicos , Ecuacion Diferenciales , Microcomputadoras,51427.566
56,Jacqueline Hernández Toledo,22,Corredor Tijuana-Rosarito 2000 No. 819,noveno semestre,5.8131175,Señales y Sistemas , Computo Movil , Administracion de Redes , Calculo Integral , Cultura y Comunicacion,19394.834
57,Valeria Iván Reza Martínez,19,Calle Insurgentes 18015,tercer semestre,6.7893863,Circuitos Electricos , Mecanica , Inteligencia Artificial , Algebra , Microcomputadoras,32229.492
58,David Antonio Martínez Castillejos,19,Blvd. Sanchez Taboada # 4005,tercer semestre,7.166873,Organizacion y Arquitectura de Computadoras , Sistema de Comunicaciones , Etica Profesional , Ecuacion Diferenciales , Administracion de Proyectos de Software,21126.432
59,Gerardo Hernández Mimbrera,20,Calle Del Abeto N° 12802,quinto semestre,9.894953,Diseño Digital VLSI , Microcomputadoras , Calculo y Geometria Analitica , Matematicas Avanzadas , Calculo Vectorial,78830.46
60,Héctor Jose Romero Rojas,22,Boulevard Delicias Sur N° 14951,noveno semestre,9.0388775,Robots Movilies , Optativa de Ciencias Sociales y Humanidades , Circuitos Electricos , Robots Movilies , Administracion de Proyectos de Software,40195.656
61,Diego Antonio Mimbrera Guadarrama,19,Avenida Del Águila Real No. 19280,tercer semestre,9.261084,Recursos y Necesidades de Mexico , Ecuacion Diferenciales , Lenguajes Formales y Automatas , Estructura de Datos y Aalgoritmos II , Fundamentos de Estadistica,50043.227
62,Fernanda David Maldonado Enciso,21,Carretera Transpeninsular Ensenada - La Paz Km 193+522,septimo semestre,8.752022,Robots Movilies , Computacion Grafica Avanzada , Redes de Datos Seguras , Dispositivos Electronicos , Quimica,16642.209
63,Gael Campos González,19,Blvd. De Circuito Oriente No.215,tercer semestre,9.570879,Computo Movil , Sistemas Distribuciones , Robots Movilies , Inteligencia Artificial , Sistemas Operativos,98571.91
64,Victoria Mateo Castillejos Rueda,21,Carr. Transpeninsular Ensenada-La Paz N° 162,septimo semestre,8.081047,Redaccion y Exposicion de Temas de Ingenieria , Sistemas Distribuciones , Recursos y Necesidades de Mexico , Microcomputadoras , Señales y Sistemas,145157.4
65,Diego García Vargas,21,Carr Transpeninsular Ensenada-La Paz- Km 171-591,septimo semestre,9.808171,Compiladores , Fundamentos de Fisica , Base de Datos , Redes de Datos Seguras , Calculo y Geometria Analitica,14079.395
66,Camila Ignacio Maldonado Pérez,19,Av. México No. 3610,tercer semestre,6.4429245,Base de Datos , Optativa de Ciencias Sociales y Humanidades , Estructuras Discretas , Circuitos Electricos , Base de Datos,16783.697
67,Maria Esquivel Peralta,18,Boulevard Gustavo Diaz Ordaz N° 17813,primer semestre,5.6737914,Computacion Grafica e Interaccion Humano-Computadora , Redaccion y Exposicion de Temas de Ingenieria , Estructuras Discretas , Organizacion y Arquitectura de Computadoras , Microcomputadoras,4366.9517
68,Alejandra Reyes Mimbrera,21,Tercera N° 101,septimo semestre,5.1187897,Algebra Lineal , Sistema de Comunicaciones , Optativa de Ciencias Sociales y Humanidades , Señales y Sistemas , Matematicas Avanzadas,6323.9346
69,Gloria Regina Martínez Pardo,21,Av. Mar De Irlanda Sur No. 799,septimo semestre,9.365437,Introduccion a la Economia , Señales y Sistemas , Matematicas Avanzadas , Estructura de Datos y Aalgoritmos I , Ingenieria de Software,32254.324
70,Renata Román Pardo,20,Calzada Anáhuac N° 1299,quinto semestre,6.295762,Analisis Numerico , Dispositivos Electronicos , Algebra , Redes de Datos Seguras , Computacion Grafica e Interaccion Humano-Computadora,83579.21
71,Laura Regina García García,21,Calzada Gustavo Vildosofa Castro N° 4089,septimo semestre,6.7228007,Microcomputadoras , Seguridad informatica , Computacion Grafica Avanzada , Estructura de Datos y Aalgoritmos II , Cultura y Comunicacion,2587.7664
72,Ana Peñaloza López,18,Calzada Lázaro Cárdenas No. 3343,primer semestre,6.3858852,Lenguajes Formales y Automatas , Calculo y Geometria Analitica , Probabilidad , Electricidad y Magnetismo , Sistemas Operativos,17582.598
73,Juan Karla Rodríguez Campos,19,Calzada Lazaro Cardenas N° 2342.,tercer semestre,9.517981,Computacion Grafica Avanzada , Compiladores , Administracion de Redes , Administracion de Proyectos de Software , Optativa de Campo de Profundizacion,92408.734
74,Renata Rojas Díaz,18,Bellas Artes N° 20290,primer semestre,9.217119,Estructura de Datos y Aalgoritmos II , Compiladores , Computacion Grafica e Interaccion Humano-Computadora , Optativa de Campo de Profundizacion , Analisis Numerico,45203.816
75,Diego González Esquivel,18,Carretera Libre Tijuana Tecate N° 26050,primer semestre,6.418209,Programacion Orientada a Objetos , Estructura de Datos y Aalgoritmos I , Mecanica , Analisis Numerico , Probabilidad,72829.11
76,Emiliano Flores Juárez,21,Andador Vecinal No. 10236,septimo semestre,6.297786,Sistema de Comunicaciones , Electricidad y Magnetismo , Computacion Grafica Avanzada , Circuitos Electricos , Fundamentos de Fisica,31866.82
77,Maria Daniel Sosa Córdova,19,Boulevard El Refugio N° 24581,tercer semestre,9.863829,Organizacion y Arquitectura de Computadoras , Etica Profesional , Cultura y Comunicacion , Algebra , Introduccion a la Economia,45240.027
78,Maria Gael Lemus Guadarrama,20,Calzada Camino Real S/N,quinto semestre,8.43104,Redaccion y Exposicion de Temas de Ingenieria , Etica Profesional , Quimica , Administracion de Proyectos de Software , Base de Datos,11447.833
79,David Jasso Valdez,18,Boulevard Agustin Olochea Aviles Norte N° 450,primer semestre,7.788939,Mecanica , Optativa de Campo de Profundizacion , Optativa de Campo de Profundizacion , Electricidad y Magnetismo , Calculo Integral,13054.968
80,Guadalupe Maldonado Guadarrama,18,Av. Agustin Olachea S/N,primer semestre,5.4998837,Organizacion y Arquitectura de Computadoras , Estructura de Datos y Aalgoritmos I , Fundamentos de Estadistica , Algebra Lineal , Diseña Digital Moderno,45708.87
81,Alejandra Hugo Vargas Peñaloza,20,Av. Agustin Olachea S/N,quinto semestre,8.765519,Computacion Grafica e Interaccion Humano-Computadora , Ingenieria de Software , Compiladores , Analisis Numerico , Calculo y Geometria Analitica,63430.03
82,Maria Lemus Pardo,21,Av. Independencia S/N,septimo semestre,9.255965,Lenguajes Formales y Automatas , Finanza en la Ingenieria en Computacion , Fundamentos de Fisica , Programacion Orientada a Objetos , Dispositivos Electronicos,67034.93
83,Felipe Arenas Carmona,21,Avenica Leona Vicario N° 2917,septimo semestre,6.773863,Estructura de Datos y Aalgoritmos II , Mecanica , Señales y Sistemas , Redaccion y Exposicion de Temas de Ingenieria , Computo Movil,39413.043
84,Angel Romero Rojas,19,Valerio Gonzalez Canseco #137 Club De Golf Fonatur,tercer semestre,7.4268136,Programacion Orientada a Objetos , Microcomputadoras , Introduccion a la Economia , Diseña Digital Moderno , Estructuras Discretas,35669.156
85,Clara Martínez Ibáñez,22,Carretera Transpeninsular Calle San Lucas- La Paz . Km. 2,noveno semestre,7.393006,Sistema de Comunicaciones , Optativa de Campo de Profundizacion , Ingenieria de Software , Introduccion a la Economia , Algebra,47834.324
86,Ana Nava Hernández,18,Calle 20 S/N X 33 Y 100,primer semestre,6.406375,Fundamentos de Fisica , Quimica , Inteligencia Artificial , Fundamentos de Programacion , Administracion de Redes,31273.686
87,Camila Diego Reyes Flores,19,Av. Adolfo López Mateos N° 136 San Román,tercer semestre,5.7643747,Optativa de Ciencias Sociales y Humanidades , Calculo Integral , Seguridad informatica , Administracion de Redes , Estructura de Datos y Aalgoritmos II,53092.395
88,Victoria Juárez García,21,Av. Maria Lavalle Urbina No. 35,septimo semestre,9.21266,Finanza en la Ingenieria en Computacion , Optativa de Campo de Profundizacion , Administracion de Proyectos de Software , Recursos y Necesidades de Mexico , Matematicas Avanzadas,17521.348
89,Emiliano Vargas Díaz,22,Maria Lavalle Mazana D Lote 1 Fraccionamiento 2 Col Sector Fundadores De A-Kim-Pech,noveno semestre,8.210234,Lenguajes Formales y Automatas , Organizacion y Arquitectura de Computadoras , Finanza en la Ingenieria en Computacion , Sistema de Comunicaciones , Fundamentos de Programacion,40226.86
90,Ángela Fernanda León Rojas,21,Av. Gobernadores No.201 X 105 Y 105 A,septimo semestre,5.284005,Ecuacion Diferenciales , Cultura y Comunicacion , Estructura y Programacion de Computadoras , Compiladores , Mecanica,50757.957
91,Ximena Nava Vargas,22,Av Periferica Norte Numero 52,noveno semestre,8.885546,Fundamentos de Programacion , Redes de Datos Seguras , Administracion de Redes , Fundamentos de Fisica , Electricidad y Magnetismo,15499.9795
92,Cecilia Carlos Sosa Campos,21,Isla De Tris S/N,septimo semestre,9.041891,Fundamentos de Sistemas Embebidos , Computacion Grafica Avanzada , Computo Movil , Optativa de Ciencias Sociales y Humanidades , Diseña Digital Moderno,55728.688
93,Juan García Hernández,18,Av Isla De Tris S/N,primer semestre,5.307713,Quimica , Inteligencia Artificial , Computacion Grafica Avanzada , Fundamentos de Programacion , Fundamentos de Estadistica,21200.512
94,Camila Hernández Martínez,19,Av. Justo Sierra Méndez No. 154,tercer semestre,9.973467,Recursos y Necesidades de Mexico , Fundamentos de Fisica , Computacion Grafica e Interaccion Humano-Computadora , Ecuacion Diferenciales , Sistemas Distribuciones,32547.588
95,Matias Pérez Flores,21,Calle 20 No. 50 Por 15,septimo semestre,7.043211,Organizacion y Arquitectura de Computadoras , Sistemas Operativos , Ingenieria de Software , Redaccion y Exposicion de Temas de Ingenieria , Señales y Sistemas,23985.328
96,Guadalupe Campos García,19,Carretera Antigua Campeche-Mérida No. 1,tercer semestre,8.280871,Introduccion a la Economia , Organizacion y Arquitectura de Computadoras , Calculo y Geometria Analitica , Administracion de Redes , Fundamentos de Programacion,9675.928
97,Valeria Santiago Sosa Galindo,20,Av. Patricio Trueba #203 Fracciorama 2000,quinto semestre,5.2334576,Calculo Integral , Introduccion a la Economia , Calculo Integral , Inteligencia Artificial , Microcomputadoras,33718.656
98,Diego Hugo Reyes Enciso,20,Blvd. Pablo David Aguilar M. S/N,quinto semestre,6.9071183,Introduccion a la Economia , Optativa de Campo de Profundizacion , Algebra , Computo Movil , Compiladores,16738.09
99,Alejandra Díaz Millán,19,Central Sur Sin Numero,tercer semestre,7.014337,Finanza en la Ingenieria en Computacion , Estructura y Programacion de Computadoras , Cultura y Comunicacion , Algebra , Fundamentos de Sistemas Embebidos,11199.87
100,Valentina López Vargas,22,3Ra Sur Y 2Da Oriente No. 34,noveno semestre,7.979802,Circuitos Electricos , Administracion de Proyectos de Software , Programacion Orientada a Objetos , Estructura de Datos y Aalgoritmos I , Estructura y Programacion de Computadoras,47401.43
101,Laura Iván Nava Martínez,21,1Ra Av. Norte Oriente Num.72,septimo semestre,8.224607,Calculo y Geometria Analitica , Optativa de Ciencias Sociales y Humanidades , Ingenieria de Software , Fundamentos de Estadistica , Calculo Integral,30012.713
102,Carlos Cecilia Galindo Carmona,21,Avenida Central Del Norte N. 11,septimo semestre,9.414024,Fundamentos de Sistemas Embebidos , Introduccion a la Economia , Sistemas Distribuciones , Fundamentos de Programacion , Cultura y Comunicacion,104584.08
103,Felipe Mateo López Carmona,19,Libramiento Sur Oriente #790,tercer semestre,5.1079936,Robots Movilies , Diseño Digital VLSI , Ecuacion Diferenciales , Redaccion y Exposicion de Temas de Ingenieria , Computacion Grafica e Interaccion Humano-Computadora,3718.7993
104,Guadalupe Maldonado Valdez,20,Boulevard Jardines De Grijalva Lote 2 Manzana 77 Lote 41 Manzana 67 Jardines De Grijalva,quinto semestre,5.5849223,Administracion de Redes , Analisis Numerico , Optativa de Campo de Profundizacion , Estructura de Datos y Aalgoritmos II , Administracion de Proyectos de Software,45196.02
105,Miguel Valeria Juárez Juárez,20,Tercera Calle Oriente Oriente N° 154.,quinto semestre,5.992096,Estructura de Datos y Aalgoritmos I , Diseño Digital VLSI , Estructura de Datos y Aalgoritmos I , Probabilidad , Base de Datos,153914.61
106,Antonio Iván Arenas Enciso,20,1A Calle Poniente Numero 3,quinto semestre,9.617865,Programacion Orientada a Objetos , Inteligencia Artificial , Señales y Sistemas , Compiladores , Redaccion y Exposicion de Temas de Ingenieria,432941.12
107,Renata Peralta De los Santos,18,Blvd. De Las Federaciones Km 120 + 200,primer semestre,7.1742983,Sistemas Operativos , Compiladores , Mecanica , Quimica , Computacion Grafica Avanzada,112545.945
108,Leonardo Carmona Peralta,22,Boulevard Belisario Domínguez Km. 1259 Barrió La Pileta ,noveno semestre,8.950821,Quimica , Fundamentos de Estadistica , Computacion Grafica e Interaccion Humano-Computadora , Probabilidad , Estructura de Datos y Aalgoritmos II,100332.37
109,Clara Mateo Galindo León,19,Blvd. De Las Federaciones Km 1260.5 No. 4021,tercer semestre,8.460703,Lenguajes Formales y Automatas , Estructuras Discretas , Lenguajes Formales y Automatas , Calculo Integral , Sistemas Distribuciones,28160.182
110,Cristina Diego León Ferreira,18,Avenida Alvaro Obregon Sin Numero,primer semestre,5.398615,Matematicas Avanzadas , Analisis Numerico , Estructura de Datos y Aalgoritmos II , Calculo y Geometria Analitica , Sistemas Operativos,4907.2246
111,Mateo Héctor González González,19,Avenida Central Norte Sin Numero,tercer semestre,7.9886637,Algebra Lineal , Algebra Lineal , Computacion Grafica Avanzada , Quimica , Algebra,47165.625
112,Clara Iván Guadarrama Pardo,18,Mariano Azuela S/N,primer semestre,5.992706,Redaccion y Exposicion de Temas de Ingenieria , Fundamentos de Sistemas Embebidos , Cultura y Comunicacion , Redaccion y Exposicion de Temas de Ingenieria , Recursos y Necesidades de Mexico,15703.973
113,Jacqueline Diego Díaz Valdez,18,Calle Negrete Oriente Sin Numero,primer semestre,8.116832,Cultura y Comunicacion , Algebra Lineal , Sistemas Operativos , Administracion de Redes , Fundamentos de Sistemas Embebidos,29846.43
114,Alejandra Pérez Corona,22,Segunda Avenida Suroriente Numero 82 Barrio La Quinta,noveno semestre,6.3828564,Programacion Orientada a Objetos , Electricidad y Magnetismo , Optativa de Ciencias Sociales y Humanidades , Electricidad y Magnetismo , Ecuacion Diferenciales,3863.4272
115,Emiliano Rueda Ferreira,19,2A Avenida Sur Sin Numero,tercer semestre,9.288689,Algebra , Cultura y Comunicacion , Diseño Digital VLSI , Microcomputadoras , Mecanica,4619.831
116,Gerardo Daniel Reza García,20,1Ra. Avenida Oriente Norte No. 110 Barrio La Pila,quinto semestre,9.568464,Fundamentos de Sistemas Embebidos , Computacion Grafica e Interaccion Humano-Computadora , Introduccion a la Economia , Algebra Lineal , Computacion Grafica Avanzada,15876.048
117,Maria Jose Carmona Córdova,18,Calzada De Las Canoas Numero 650,primer semestre,6.8663535,Mecanica , Sistemas Distribuciones , Redes de Datos Seguras , Seguridad informatica , Sistemas Distribuciones,1087.276
